분류번호,위험물유형,수집날짜,위도,경도,노드링크,시작노드,끝노드,도로명주소,데이터기준일자
SAMPLE-00047,도로파임,2025-07-19,37.388938,126.933185,LINK003,N020,N031,경기도 안양시 관악대로 238,2025-12-31
SAMPLE-00048,횡방향 균열,2025-05-04,37.383855,126.935329,LINK027,N013,N015,경기도 안양시 만안로 168,2025-12-31
SAMPLE-00049,포트홀,2025-03-14,37.382687,126.90164,LINK039,N073,N065,경기도 안양시 만안로 295,2025-12-31
SAMPLE-00050,횡방향 균열,2025-10-25,37.379448,126.922694,LINK040,N072,N076,경기도 안양시 만안로 104,2025-12-31
SAMPLE-00051,포트홀,2025-02-27,37.40303,126.921779,LINK017,N056,N049,경기도 안양시 학의로 57,2025-12-31
SAMPLE-00052,횡방향 균열,2025-08-02,37.430699,126.910267,LINK040,N009,N048,경기도 안양시 경수대로 187,2025-12-31
SAMPLE-00053,종방향 균열,2025-10-25,37.391696,126.949721,LINK029,N040,N023,경기도 안양시 안양로 279,2025-12-31
SAMPLE-00054,횡방향 균열,2025-07-20,37.383186,126.935603,LINK025,N066,N012,경기도 안양시 시민대로 108,2025-12-31
SAMPLE-00055,거북등 균열,2025-01-09,37.37943,126.927578,LINK039,N048,N037,경기도 안양시 안양로 298,2025-12-31
SAMPLE-00056,거북등 균열,2025-01-24,37.424985,126.894143,LINK015,N074,N022,경기도 안양시 안양로 125,2025-12-31
SAMPLE-00057,종방향 균열,2025-02-19,37.395667,126.95815,LINK004,N013,N044,경기도 안양시 만안로 122,2025-12-31
SAMPLE-00058,도로파임,2025-04-20,37.364452,126.966593,LINK016,N070,N045,경기도 안양시 만안로 210,2025-12-31
SAMPLE-00059,포트홀,2025-03-22,37.431219,126.974316,LINK024,N076,N078,경기도 안양시 경수대로 277,2025-12-31
SAMPLE-00060,도로파임,2025-08-19,37.402075,126.92315,LINK025,N034,N018,경기도 안양시 안양로 92,2025-12-31
SAMPLE-00061,횡방향 균열,2025-02-27,37.400712,126.944309,LINK008,N038,N067,경기도 안양시 시민대로 184,2025-12-31
SAMPLE-00062,도로파임,2025-04-06,37.437674,126.905962,LINK021,N039,N038,경기도 안양시 흥안대로 164,2025-12-31
SAMPLE-00063,포트홀,2025-11-11,37.394657,126.95736,LINK008,N059,N028,경기도 안양시 경수대로 116,2025-12-31
SAMPLE-00064,횡방향 균열,2025-11-27,37.380269,126.967729,LINK002,N078,N012,경기도 안양시 학의로 55,2025-12-31
SAMPLE-00065,포트홀,2025-10-14,37.368736,126.942682,LINK040,N080,N067,경기도 안양시 안양로 23,2025-12-31
SAMPLE-00066,거북등 균열,2025-05-15,37.383348,126.934912,LINK038,N070,N029,경기도 안양시 학의로 111,2025-12-31
SAMPLE-00067,종방향 균열,2025-09-27,37.370152,126.973301,LINK019,N068,N072,경기도 안양시 흥안대로 238,2025-12-31
SAMPLE-00068,포트홀,2025-06-16,37.416008,126.955645,LINK017,N067,N031,경기도 안양시 관악대로 99,2025-12-31
SAMPLE-00069,거북등 균열,2025-12-15,37.383641,126.9346,LINK012,N013,N056,경기도 안양시 학의로 288,2025-12-31
SAMPLE-00070,거북등 균열,2025-06-06,37.430879,126.923367,LINK009,N045,N037,경기도 안양시 학의로 188,2025-12-31
SAMPLE-00071,도로파임,2025-10-12,37.415568,126.914243,LINK026,N013,N016,경기도 안양시 학의로 291,2025-12-31
SAMPLE-00072,도로파임,2025-07-20,37.384172,126.935503,LINK009,N053,N031,경기도 안양시 학의로 235,2025-12-31
SAMPLE-00073,거북등 균열,2025-12-03,37.413873,126.902475,LINK027,N045,N069,경기도 안양시 시민대로 222,2025-12-31
SAMPLE-00074,포트홀,2025-07-27,37.378085,126.967903,LINK018,N072,N063,경기도 안양시 경수대로 147,2025-12-31
SAMPLE-00075,도로파임,2025-06-08,37.384162,126.934451,LINK031,N038,N068,경기도 안양시 시민대로 152,2025-12-31
SAMPLE-00076,포트홀,2025-12-21,37.387837,126.916013,LINK017,N060,N056,경기도 안양시 학의로 8,2025-12-31
SAMPLE-00077,횡방향 균열,2025-06-27,37.383901,126.907157,LINK004,N048,N031,경기도 안양시 안양로 274,2025-12-31
SAMPLE-00078,횡방향 균열,2025-08-21,37.382018,126.933597,LINK016,N077,N062,경기도 안양시 관악대로 278,2025-12-31
SAMPLE-00079,횡방향 균열,2025-04-19,37.364537,126.967361,LINK003,N026,N059,경기도 안양시 관악대로 251,2025-12-31
SAMPLE-00080,횡방향 균열,2025-09-20,37.388218,126.949492,LINK022,N045,N069,경기도 안양시 만안로 208,2025-12-31
SAMPLE-00081,포트홀,2025-08-13,37.403554,126.922881,LINK021,N010,N020,경기도 안양시 안양로 89,2025-12-31
SAMPLE-00082,횡방향 균열,2025-08-26,37.426567,126.9677,LINK006,N053,N062,경기도 안양시 관악대로 207,2025-12-31
SAMPLE-00083,종방향 균열,2025-10-09,37.391514,126.978818,LINK020,N067,N048,경기도 안양시 관악대로 111,2025-12-31
SAMPLE-00084,도로파임,2025-07-04,37.393621,126.957665,LINK017,N032,N023,경기도 안양시 관악대로 157,2025-12-31
SAMPLE-00085,횡방향 균열,2025-12-23,37.420341,126.961768,LINK022,N050,N023,경기도 안양시 시민대로 229,2025-12-31
SAMPLE-00086,거북등 균열,2025-11-19,37.380509,126.974521,LINK034,N021,N065,경기도 안양시 흥안대로 221,2025-12-31
SAMPLE-00087,거북등 균열,2025-06-05,37.393336,126.956074,LINK022,N035,N069,경기도 안양시 관악대로 23,2025-12-31
SAMPLE-00088,거북등 균열,2025-10-21,37.400171,126.928281,LINK039,N074,N011,경기도 안양시 만안로 121,2025-12-31
SAMPLE-00089,횡방향 균열,2025-04-11,37.389964,126.942236,LINK024,N016,N074,경기도 안양시 시민대로 111,2025-12-31
SAMPLE-00090,횡방향 균열,2025-12-16,37.394639,126.957539,LINK001,N080,N038,경기도 안양시 안양로 220,2025-12-31
SAMPLE-00091,종방향 균열,2025-08-19,37.437213,126.952903,LINK027,N080,N045,경기도 안양시 흥안대로 49,2025-12-31
SAMPLE-00092,횡방향 균열,2025-04-15,37.413505,126.933631,LINK016,N040,N033,경기도 안양시 학의로 241,2025-12-31
SAMPLE-00093,포트홀,2025-03-25,37.403572,126.921666,LINK020,N051,N074,경기도 안양시 경수대로 287,2025-12-31
SAMPLE-00094,도로파임,2025-12-27,37.388497,126.912165,LINK026,N059,N046,경기도 안양시 시민대로 191,2025-12-31
SAMPLE-00095,포트홀,2025-11-02,37.435836,126.923962,LINK034,N017,N047,경기도 안양시 흥안대로 183,2025-12-31
SAMPLE-00096,거북등 균열,2025-06-19,37.383982,126.936178,LINK017,N037,N035,경기도 안양시 관악대로 60,2025-12-31
SAMPLE-00097,횡방향 균열,2025-10-04,37.420756,126.955565,LINK020,N062,N024,경기도 안양시 시민대로 280,2025-12-31
SAMPLE-00098,횡방향 균열,2025-06-16,37.429272,126.910842,LINK035,N065,N058,경기도 안양시 만안로 170,2025-12-31
SAMPLE-00099,횡방향 균열,2025-03-26,37.382498,126.934946,LINK020,N050,N023,경기도 안양시 경수대로 24,2025-12-31
SAMPLE-00100,종방향 균열,2025-04-12,37.387174,126.958628,LINK005,N042,N044,경기도 안양시 학의로 120,2025-12-31
SAMPLE-00101,횡방향 균열,2025-05-17,37.401236,126.904849,LINK024,N051,N080,경기도 안양시 관악대로 277,2025-12-31
SAMPLE-00102,종방향 균열,2025-05-04,37.401557,126.924287,LINK024,N072,N067,경기도 안양시 흥안대로 261,2025-12-31
SAMPLE-00103,거북등 균열,2025-11-07,37.370629,126.953138,LINK003,N037,N005,경기도 안양시 만안로 77,2025-12-31
SAMPLE-00104,도로파임,2025-12-07,37.398626,126.895529,LINK018,N016,N045,경기도 안양시 흥안대로 227,2025-12-31
SAMPLE-00105,도로파임,2025-12-01,37.40345,126.923675,LINK006,N011,N062,경기도 안양시 시민대로 156,2025-12-31
SAMPLE-00106,종방향 균열,2025-10-06,37.417392,126.952686,LINK038,N013,N067,경기도 안양시 흥안대로 262,2025-12-31
SAMPLE-00107,포트홀,2025-04-13,37.39395,126.969892,LINK013,N063,N069,경기도 안양시 만안로 203,2025-12-31
SAMPLE-00108,횡방향 균열,2025-05-20,37.395466,126.958044,LINK037,N044,N007,경기도 안양시 학의로 198,2025-12-31
SAMPLE-00109,도로파임,2025-06-04,37.395205,126.928654,LINK010,N052,N011,경기도 안양시 안양로 70,2025-12-31
SAMPLE-00110,종방향 균열,2025-10-17,37.433411,126.918587,LINK011,N003,N061,경기도 안양시 학의로 43,2025-12-31
SAMPLE-00111,도로파임,2025-03-05,37.384082,126.934227,LINK040,N073,N051,경기도 안양시 만안로 95,2025-12-31
SAMPLE-00112,종방향 균열,2025-11-13,37.39717,126.937585,LINK022,N071,N028,경기도 안양시 흥안대로 225,2025-12-31
SAMPLE-00113,도로파임,2025-01-05,37.404044,126.967788,LINK023,N078,N076,경기도 안양시 흥안대로 83,2025-12-31
SAMPLE-00114,종방향 균열,2025-03-14,37.382264,126.935171,LINK009,N077,N028,경기도 안양시 안양로 27,2025-12-31
SAMPLE-00115,도로파임,2025-08-08,37.40006,126.894736,LINK031,N009,N049,경기도 안양시 안양로 166,2025-12-31
SAMPLE-00116,종방향 균열,2025-12-19,37.390178,126.941186,LINK013,N035,N024,경기도 안양시 경수대로 297,2025-12-31
SAMPLE-00117,횡방향 균열,2025-08-03,37.381632,126.93463,LINK037,N009,N014,경기도 안양시 학의로 50,2025-12-31
SAMPLE-00118,횡방향 균열,2025-02-20,37.374596,126.897583,LINK028,N001,N074,경기도 안양시 흥안대로 15,2025-12-31
SAMPLE-00119,포트홀,2025-05-17,37.436804,126.894382,LINK035,N008,N004,경기도 안양시 관악대로 44,2025-12-31
SAMPLE-00120,포트홀,2025-02-25,37.395686,126.956686,LINK007,N063,N054,경기도 안양시 흥안대로 202,2025-12-31
SAMPLE-00121,거북등 균열,2025-12-25,37.39711,126.909485,LINK039,N010,N038,경기도 안양시 관악대로 32,2025-12-31
SAMPLE-00122,횡방향 균열,2025-02-24,37.405166,126.960871,LINK021,N069,N069,경기도 안양시 경수대로 259,2025-12-31
SAMPLE-00123,포트홀,2025-03-24,37.402314,126.922724,LINK014,N022,N063,경기도 안양시 학의로 155,2025-12-31
SAMPLE-00124,거북등 균열,2025-01-27,37.360678,126.898029,LINK030,N065,N056,경기도 안양시 경수대로 110,2025-12-31
SAMPLE-00125,포트홀,2025-06-22,37.409727,126.9051,LINK005,N077,N047,경기도 안양시 관악대로 288,2025-12-31
SAMPLE-00126,포트홀,2025-05-10,37.401659,126.922978,LINK030,N023,N047,경기도 안양시 만안로 161,2025-12-31
SAMPLE-00127,종방향 균열,2025-11-19,37.386883,126.946451,LINK027,N060,N010,경기도 안양시 학의로 134,2025-12-31
SAMPLE-00128,거북등 균열,2025-04-24,37.423511,126.905019,LINK034,N017,N079,경기도 안양시 시민대로 44,2025-12-31
SAMPLE-00129,거북등 균열,2025-06-05,37.383263,126.934708,LINK026,N044,N004,경기도 안양시 관악대로 289,2025-12-31
SAMPLE-00130,횡방향 균열,2025-01-17,37.394072,126.943779,LINK010,N045,N039,경기도 안양시 학의로 226,2025-12-31
SAMPLE-00131,포트홀,2025-09-17,37.437993,126.945241,LINK006,N009,N004,경기도 안양시 안양로 34,2025-12-31
SAMPLE-00132,포트홀,2025-01-18,37.39571,126.957604,LINK007,N010,N051,경기도 안양시 관악대로 52,2025-12-31
SAMPLE-00133,종방향 균열,2025-10-06,37.376364,126.947512,LINK020,N069,N055,경기도 안양시 안양로 227,2025-12-31
SAMPLE-00134,도로파임,2025-12-08,37.396556,126.974511,LINK010,N042,N075,경기도 안양시 경수대로 66,2025-12-31
SAMPLE-00135,도로파임,2025-12-10,37.382956,126.935878,LINK009,N031,N005,경기도 안양시 경수대로 9,2025-12-31
SAMPLE-00136,도로파임,2025-12-16,37.396171,126.978349,LINK038,N059,N001,경기도 안양시 만안로 300,2025-12-31
SAMPLE-00137,도로파임,2025-12-12,37.370338,126.906393,LINK003,N023,N036,경기도 안양시 안양로 281,2025-12-31
SAMPLE-00138,도로파임,2025-05-06,37.38394,126.935044,LINK006,N015,N027,경기도 안양시 학의로 145,2025-12-31
SAMPLE-00139,횡방향 균열,2025-05-26,37.36101,126.96395,LINK016,N075,N007,경기도 안양시 학의로 128,2025-12-31
SAMPLE-00140,횡방향 균열,2025-12-10,37.363959,126.969989,LINK038,N045,N052,경기도 안양시 관악대로 220,2025-12-31
SAMPLE-00141,횡방향 균열,2025-09-20,37.381916,126.934694,LINK024,N062,N008,경기도 안양시 흥안대로 182,2025-12-31
SAMPLE-00142,종방향 균열,2025-01-21,37.38162,126.957116,LINK030,N064,N077,경기도 안양시 만안로 5,2025-12-31
SAMPLE-00143,거북등 균열,2025-06-23,37.407209,126.934999,LINK038,N029,N008,경기도 안양시 관악대로 124,2025-12-31
SAMPLE-00144,도로파임,2025-04-15,37.403924,126.92374,LINK037,N035,N028,경기도 안양시 관악대로 261,2025-12-31
SAMPLE-00145,포트홀,2025-07-22,37.360251,126.926606,LINK022,N065,N013,경기도 안양시 만안로 207,2025-12-31
SAMPLE-00146,거북등 균열,2025-12-02,37.366367,126.915207,LINK002,N063,N076,경기도 안양시 관악대로 282,2025-12-31
SAMPLE-00147,거북등 균열,2025-12-11,37.395102,126.95823,LINK029,N002,N019,경기도 안양시 만안로 143,2025-12-31
SAMPLE-00148,종방향 균열,2025-07-16,37.399592,126.919076,LINK022,N056,N069,경기도 안양시 시민대로 29,2025-12-31
SAMPLE-00149,종방향 균열,2025-10-08,37.377507,126.938415,LINK024,N079,N043,경기도 안양시 안양로 137,2025-12-31
SAMPLE-00150,종방향 균열,2025-04-17,37.383618,126.934959,LINK038,N059,N077,경기도 안양시 경수대로 290,2025-12-31
SAMPLE-00151,포트홀,2025-08-21,37.403402,126.906681,LINK026,N036,N045,경기도 안양시 관악대로 146,2025-12-31
SAMPLE-00152,포트홀,2025-09-03,37.363828,126.914224,LINK028,N003,N020,경기도 안양시 흥안대로 212,2025-12-31
SAMPLE-00153,종방향 균열,2025-12-11,37.404153,126.922641,LINK013,N060,N049,경기도 안양시 시민대로 224,2025-12-31
SAMPLE-00154,종방향 균열,2025-02-11,37.413103,126.915821,LINK007,N020,N065,경기도 안양시 흥안대로 14,2025-12-31
SAMPLE-00155,거북등 균열,2025-01-06,37.424219,126.919048,LINK016,N002,N052,경기도 안양시 만안로 118,2025-12-31
SAMPLE-00156,횡방향 균열,2025-02-25,37.39471,126.955416,LINK006,N062,N024,경기도 안양시 만안로 35,2025-12-31
SAMPLE-00157,포트홀,2025-03-04,37.4215,126.966273,LINK023,N032,N037,경기도 안양시 안양로 232,2025-12-31
SAMPLE-00158,거북등 균열,2025-11-23,37.363866,126.924758,LINK025,N037,N038,경기도 안양시 관악대로 45,2025-12-31
SAMPLE-00159,도로파임,2025-05-01,37.402455,126.922695,LINK020,N066,N027,경기도 안양시 경수대로 277,2025-12-31
SAMPLE-00160,종방향 균열,2025-10-05,37.435606,126.926722,LINK010,N047,N007,경기도 안양시 안양로 259,2025-12-31
SAMPLE-00161,종방향 균열,2025-06-22,37.429258,126.902091,LINK037,N056,N017,경기도 안양시 흥안대로 290,2025-12-31
SAMPLE-00162,도로파임,2025-04-09,37.401721,126.923244,LINK009,N047,N010,경기도 안양시 흥안대로 285,2025-12-31
SAMPLE-00163,종방향 균열,2025-06-02,37.431684,126.969766,LINK040,N075,N014,경기도 안양시 경수대로 221,2025-12-31
SAMPLE-00164,도로파임,2025-01-13,37.410124,126.90985,LINK028,N020,N049,경기도 안양시 만안로 236,2025-12-31
SAMPLE-00165,종방향 균열,2025-11-11,37.382706,126.935036,LINK026,N012,N028,경기도 안양시 흥안대로 74,2025-12-31
SAMPLE-00166,횡방향 균열,2025-02-07,37.366379,126.964695,LINK025,N056,N003,경기도 안양시 관악대로 123,2025-12-31
SAMPLE-00167,횡방향 균열,2025-01-05,37.435279,126.965148,LINK010,N003,N016,경기도 안양시 경수대로 70,2025-12-31
SAMPLE-00168,거북등 균열,2025-11-07,37.402341,126.921794,LINK016,N024,N030,경기도 안양시 관악대로 228,2025-12-31
SAMPLE-00169,횡방향 균열,2025-10-03,37.389974,126.959288,LINK026,N068,N054,경기도 안양시 시민대로 186,2025-12-31
SAMPLE-00170,거북등 균열,2025-02-26,37.406529,126.956635,LINK014,N080,N009,경기도 안양시 관악대로 49,2025-12-31
SAMPLE-00171,거북등 균열,2025-06-24,37.392903,126.955444,LINK008,N014,N008,경기도 안양시 시민대로 263,2025-12-31
SAMPLE-00172,도로파임,2025-09-13,37.369411,126.918149,LINK002,N068,N005,경기도 안양시 시민대로 67,2025-12-31
SAMPLE-00173,도로파임,2025-01-05,37.410134,126.906356,LINK021,N032,N055,경기도 안양시 관악대로 69,2025-12-31
SAMPLE-00174,거북등 균열,2025-07-01,37.404019,126.923408,LINK003,N003,N004,경기도 안양시 만안로 43,2025-12-31
SAMPLE-00175,도로파임,2025-07-25,37.439655,126.974993,LINK011,N007,N017,경기도 안양시 관악대로 173,2025-12-31
SAMPLE-00176,종방향 균열,2025-03-04,37.360112,126.914852,LINK028,N066,N008,경기도 안양시 시민대로 285,2025-12-31
SAMPLE-00177,거북등 균열,2025-07-07,37.394409,126.957996,LINK014,N002,N043,경기도 안양시 관악대로 69,2025-12-31
SAMPLE-00178,거북등 균열,2025-02-26,37.412049,126.966111,LINK014,N053,N033,경기도 안양시 학의로 94,2025-12-31
SAMPLE-00179,도로파임,2025-05-13,37.374054,126.919897,LINK028,N030,N042,경기도 안양시 안양로 46,2025-12-31
SAMPLE-00180,종방향 균열,2025-09-17,37.383391,126.933746,LINK034,N069,N078,경기도 안양시 안양로 31,2025-12-31
SAMPLE-00181,종방향 균열,2025-10-26,37.439916,126.97583,LINK004,N076,N031,경기도 안양시 경수대로 99,2025-12-31
SAMPLE-00182,포트홀,2025-02-12,37.418187,126.971285,LINK023,N062,N072,경기도 안양시 시민대로 143,2025-12-31
SAMPLE-00183,횡방향 균열,2025-09-16,37.393591,126.956436,LINK032,N075,N059,경기도 안양시 만안로 121,2025-12-31
SAMPLE-00184,거북등 균열,2025-02-08,37.429118,126.896255,LINK004,N011,N001,경기도 안양시 시민대로 83,2025-12-31
SAMPLE-00185,횡방향 균열,2025-11-05,37.388652,126.893297,LINK038,N023,N014,경기도 안양시 학의로 167,2025-12-31
SAMPLE-00186,종방향 균열,2025-05-22,37.384032,126.936447,LINK004,N052,N050,경기도 안양시 시민대로 49,2025-12-31
SAMPLE-00187,거북등 균열,2025-03-21,37.399671,126.895994,LINK037,N002,N074,경기도 안양시 흥안대로 276,2025-12-31
SAMPLE-00188,거북등 균열,2025-09-05,37.426259,126.95094,LINK023,N057,N013,경기도 안양시 만안로 63,2025-12-31
SAMPLE-00189,종방향 균열,2025-01-17,37.394433,126.957318,LINK021,N051,N022,경기도 안양시 시민대로 138,2025-12-31
SAMPLE-00190,도로파임,2025-10-25,37.368899,126.911854,LINK024,N045,N031,경기도 안양시 학의로 193,2025-12-31
SAMPLE-00191,도로파임,2025-08-08,37.414116,126.973028,LINK019,N069,N055,경기도 안양시 안양로 13,2025-12-31
SAMPLE-00192,횡방향 균열,2025-12-08,37.402463,126.921544,LINK006,N040,N062,경기도 안양시 만안로 256,2025-12-31
SAMPLE-00193,횡방향 균열,2025-06-10,37.418822,126.912478,LINK029,N009,N057,경기도 안양시 경수대로 50,2025-12-31
SAMPLE-00194,횡방향 균열,2025-04-13,37.42588,126.890523,LINK025,N030,N034,경기도 안양시 학의로 77,2025-12-31
SAMPLE-00195,종방향 균열,2025-11-18,37.395613,126.957764,LINK030,N078,N035,경기도 안양시 학의로 237,2025-12-31
SAMPLE-00196,도로파임,2025-04-16,37.423221,126.9077,LINK033,N067,N030,경기도 안양시 관악대로 264,2025-12-31
SAMPLE-00197,거북등 균열,2025-07-02,37.427354,126.943859,LINK001,N024,N045,경기도 안양시 시민대로 116,2025-12-31
SAMPLE-00198,도로파임,2025-10-08,37.394759,126.95779,LINK026,N061,N045,경기도 안양시 관악대로 103,2025-12-31
SAMPLE-00199,종방향 균열,2025-12-23,37.410921,126.926555,LINK009,N022,N073,경기도 안양시 안양로 33,2025-12-31
SAMPLE-00200,거북등 균열,2025-03-16,37.37122,126.93611,LINK021,N028,N003,경기도 안양시 학의로 12,2025-12-31
SAMPLE-00201,종방향 균열,2025-09-27,37.393684,126.956778,LINK034,N026,N040,경기도 안양시 시민대로 176,2025-12-31
SAMPLE-00202,종방향 균열,2025-09-16,37.422728,126.932655,LINK019,N050,N035,경기도 안양시 시민대로 154,2025-12-31
SAMPLE-00203,횡방향 균열,2025-03-19,37.367622,126.977611,LINK036,N043,N013,경기도 안양시 만안로 218,2025-12-31
SAMPLE-00204,종방향 균열,2025-01-13,37.384239,126.935504,LINK027,N012,N080,경기도 안양시 경수대로 289,2025-12-31
SAMPLE-00205,도로파임,2025-08-20,37.39808,126.902052,LINK031,N045,N052,경기도 안양시 시민대로 108,2025-12-31
SAMPLE-00206,종방향 균열,2025-08-28,37.427534,126.929662,LINK027,N077,N076,경기도 안양시 흥안대로 151,2025-12-31
SAMPLE-00207,포트홀,2025-01-23,37.383163,126.936405,LINK018,N075,N024,경기도 안양시 안양로 229,2025-12-31
SAMPLE-00208,도로파임,2025-12-14,37.379582,126.897799,LINK034,N024,N037,경기도 안양시 학의로 121,2025-12-31
SAMPLE-00209,횡방향 균열,2025-10-08,37.370435,126.961975,LINK021,N008,N054,경기도 안양시 안양로 177,2025-12-31
SAMPLE-00210,도로파임,2025-01-23,37.394542,126.956541,LINK038,N048,N054,경기도 안양시 학의로 21,2025-12-31
